index,title,sentence,simplified,url,categories,simplification_type,avg_rating_original,avg_rating_simplified
31,Quadrichromie,"L'exemple ci-dessous montre que, même si le résultat obtenu est satisfaisant, certaines couleurs s'affaiblissent entre leur représentation en rouge-vert-bleu à l'écran et leur production quadrichromique.",L'exemple montre que certaines couleurs s'affaiblissent entre leur représentation en rouge-vert-bleu à l'écran et leur production quadrichromique.,fr.wikipedia.org/wiki/Quadrichromie,"Article à référence souhaitée, Informatique de la couleur, Portail:Couleurs/Articles liés, Publication assistée par ordinateur, Synthèse des couleurs, Technique d'impression",Élimination des informations non essentielles,3.6,2.4
32,Plaine de la Messara,"De nos jours, la plaine de la Messara est communément appelée le « verger de la Crète », de nombreux exploitations agricoles profitant de son sol fertile.","De nos jours, la plaine de la Messara est communément appelée le « verger de la Crète ». De nombreuses exploitations agricoles profitent de son sol fertile.",fr.wikipedia.org/wiki/Plaine_de_la_Messara,"Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article géolocalisé en Grèce, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Géographie de la Crète, Page avec des cartes, Page géolocalisée par Wikidata, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P8406, Plaine en Grèce, Portail:Crète/Articles liés, Portail:Europe/Articles liés, Portail:Grèce/Articles liés, Portail:Géographie/Articles liés, Wikipédia:ébauche Grèce, Wikipédia:ébauche géographie",Réduction de la longueur des phrases,3.0,1.0
33,Institut archéologique allemand d'Athènes,"Fondé le 17 mars 1872 par décision du Reichstag, il s'agit du deuxième institut archéologique étranger d'Athènes à l'être après l'école française d’Athènes, établie en 1846.","L'institut a été fondé le 17 mars 1872 par décision du Reichstag. C'est le deuxième institut archéologique étranger d'Athènes, après l'école française d’Athènes établie en 1846.",fr.wikipedia.org/wiki/Institut_arch%C3%A9ologique_allemand_d%27Ath%C3%A8nes,"Article contenant un appel à traduction en allemand, Article de Wikipédia avec notice d'autorité, Article géolocalisé en Grèce, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Catégorie Commons avec lien local différent sur Wikidata, Centre ou institution archéologique, Institut archéologique étranger en Grèce, Organisme fondé en 1872, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P101, Page utilisant P1037, Page utilisant P17, Page utilisant P2716, Page utilisant P31, Page utilisant P571, Page utilisant P749, Page utilisant P856, Page utilisant le modèle Bases recherche inactif, Portail:Allemagne/Articles liés, Portail:Archéologie/Articles liés, Portail:Athènes/Articles liés, Portail:Europe/Articles liés, Portail:Grèce/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences de l'information et des bibliothèques/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Relations entre l'Allemagne et la Grèce",Réduction de la longueur des phrases,3.8,2.0
34,Distribution de temps de séjour,"Le traceur choisi ne doit pas modifier les propriétés physiques du milieu (même densité, même viscosité) et l'introduction du traceur ne doit pas modifier les conditions hydrodynamiques.","Le traceur choisi doit préserver les propriétés physiques du milieu (même densité, même viscosité, et même conditions hydrodynamiques).",fr.wikipedia.org/wiki/Distribution_de_temps_de_s%C3%A9jour,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Génie chimique, Physique appliquée et interdisciplinaire, Portail:Chimie/Articles liés, Portail:Industrie/Articles liés, Portail:Physique/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés",Propositions positives au lieu de négatives,2.8,1.8
35,Rio dei Bareteri,"L'art devint autonome en 1677, mais ce nouveau statut comporta une taxation plus élevée que lorsqu'ils furent unis aux marzeri.","L'art est devenu autonome en 1677, mais ce nouveau statut avait une taxe plus élevée que lorsqu'ils étaient unis aux marzeri.",fr.wikipedia.org/wiki/Rio_dei_Bareteri,"Article géolocalisé en Italie, Article utilisant une Infobox, Canal dans le sestiere de San Marco, Catégorie Commons avec lien local identique sur Wikidata, Page avec des cartes, Page utilisant P17, Portail:Eau/Articles liés, Portail:Europe/Articles liés, Portail:Géographie/Articles liés, Portail:Italie/Articles liés, Portail:Lacs et cours d'eau/Articles liés, Portail:Maritime/Articles liés, Portail:Mer/Articles liés, Portail:Mer Adriatique/Articles liés, Portail:Mer Méditerranée/Articles liés, Portail:Océan Atlantique/Articles liés, Portail:Venise/Articles liés, Portail:Vénétie/Articles liés, Wikipédia:ébauche Venise, Wikipédia:ébauche géographie",Substitution de mots complexes,3.8,2.6
36,Histoire de la culture du tabac,"Sa diffusion est freinée par la guerre de Trente Ans, mais la culture du tabac se répand et réussit surtout dans la partie méridionale du département du Haut-Rhin.",La culture du tabac se répand et réussit surtout dans la partie méridionale du département du Haut-Rhin. Cela se produit malgré sa diffusion freinée par la guerre de Trente Ans.,fr.wikipedia.org/wiki/Histoire_de_la_culture_du_tabac,"Histoire de l'agriculture, Histoire économique, Portail:Biologie/Articles liés, Portail:Botanique/Articles liés, Portail:Histoire/Articles liés, Portail:Psychotrope/Articles liés, Portail:Sciences/Articles liés, Portail:Tabac/Articles liés, Projet:Biologie/Pages liées, Tabac",Réduction de la longueur des phrases,3.0,1.8
37,Alutiiq (langue),"L’alutiiq, aussi appelé yupik du Golfe Pacifique ou sugpiaq, est une des langues yupik, de la famille des langues eskimo-aléoutes, parlée traditionnellement par les Alutiiq.","L’alutiiq, aussi appelé yupik du Golfe Pacifique ou sugpiaq, est une langue yupik. Elle fait partie des langues eskimo-aléoutes. Elle est parlée traditionnellement par les Alutiiq.",fr.wikipedia.org/wiki/Alutiiq_(langue),"Article utilisant une Infobox, Article à illustrer Langue, Inventaire de langues, Inventaire de langues amérindiennes, Langue amérindienne aux États-Unis, Langue amérindienne en Amérique du Nord, Langue en Alaska, Langue officielle, Langue polysynthétique, Langue sérieusement en danger, Langue yupik, Portail:Alaska/Articles liés, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Arctique/Articles liés, Portail:Langues/Articles liés, Portail:Langues/Articles liés directement, Portail:Nord-Amérindiens/Articles liés, Portail:Société/Articles liés, Portail:États-Unis/Articles liés, Wikipédia:ébauche Alaska, Wikipédia:ébauche Arctique, Wikipédia:ébauche langue",Réduction de la longueur des phrases,4.6,3.4
38,Patinoire olympique de Gjøvik,"La Patinoire olympique de Gjøvik est une salle de sport située à Gjøvik, en Norvège, construite à l'occasion des Jeux olympiques d'hiver de 1994.","La Patinoire olympique de Gjøvik est une salle de sport située à Gjøvik, en Norvège. Elle a été construite à l'occasion des Jeux olympiques d'hiver de 1994.",fr.wikipedia.org/wiki/Patinoire_olympique_de_Gj%C3%B8vik,"Article géolocalisé en Norvège, Article utilisant l'infobox Stade, Article utilisant une Infobox, Bon article en anglais, Gjøvik, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page avec des données de géolocalisation non prises en charge, Page utilisant P466, Patinoire de hockey en Norvège, Portail:Architecture et urbanisme/Articles liés, Portail:Europe/Articles liés, Portail:Hockey sur glace/Articles liés, Portail:Jeux olympiques/Articles liés, Portail:Norvège/Articles liés, Portail:Sport/Articles liés, Portail:Sports d'hiver/Articles liés, Site des Jeux olympiques d'hiver de 1994, Stade olympique, Stade portant le nom d'une ville, Équipement sportif achevé en 1993",Réduction de la longueur des phrases,2.6,1.4
39,Monument national (Slovaquie),"Un monument ou site historique est déclaré comme « monument culturel national » (en slovaque : národná kultúrna pamiatka, abrégé en NKP).","Un monument ou site historique est déclaré comme « monument culturel national ». En slovaque, c'est appelé národná kultúrna pamiatka, abrégé en NKP.",fr.wikipedia.org/wiki/Monument_national_(Slovaquie),"Culture slovaque, Monument national en Slovaquie, Portail:Architecture et urbanisme/Articles liés, Portail:Culture/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Protection du patrimoine/Articles liés, Portail:Slovaquie/Articles liés, Wikipédia:ébauche Slovaquie, Wikipédia:ébauche architecture, Wikipédia:ébauche culture, Wikipédia:ébauche histoire",Réduction de la longueur des phrases,2.75,2.0
40,Golfe de Salerne,"Dans le nord, la côte du golfe, également appelée la Divina Costiera en raison de sa beauté, est accidentée par les versants rocheux des monts Lattari qui tombent dans la mer.","Dans le nord, la côte du golfe est accidentée par les versants rocheux des monts Lattari qui tombent dans la mer.",fr.wikipedia.org/wiki/Golfe_de_Salerne,"Article géolocalisé en Italie, Article géolocalisé sur Terre, Article utilisant une Infobox, Article à illustrer Étendue d'eau, Golfe en Italie, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Portail:Campanie/Articles liés, Portail:Europe/Articles liés, Portail:Géographie/Articles liés, Portail:Italie/Articles liés, Portail:Maritime/Articles liés, Portail:Mer/Articles liés, Portail:Mer Méditerranée/Articles liés, Province de Salerne, Wikipédia:ébauche Campanie, Wikipédia:ébauche géographie, Wikipédia:ébauche mer Méditerranée",Élimination des informations non essentielles,3.0,1.6
41,Agriculture de conservation,"Le semis direct sans labour est aujourd’hui largement utilisé pour le maïs et le soja aux États-Unis, mais aussi au Brésil, en Argentine, au Canada, en Australie.","Le semis direct sans labour est aujourd’hui largement utilisé pour le maïs et le soja aux États-Unis. Il est aussi utilisé au Brésil, en Argentine, au Canada, en Australie.",fr.wikipedia.org/wiki/Agriculture_de_conservation,"Agriculture durable, Agriculture par méthode de production, Article contenant un lien mort, Article de Wikipédia avec notice d'autorité, Article utilisant le modèle Dictionnaires inactif, Article à référence insuffisante, Page utilisant un modèle Bases inactif, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Portail:Environnement/Articles liés, Projet:Biologie/Pages liées",Réduction de la longueur des phrases,2.8,2.4
42,Fleur de pierre,"Sculpture monumentale en béton créée en 1966, il s'agit d'un monument à la mémoire des victimes du camp d'extermination de Jasenovac, en Croatie.","Cette sculpture monumentale en béton a été créée en 1966. C'est un monument à la mémoire des victimes du camp d'extermination de Jasenovac, en Croatie.",fr.wikipedia.org/wiki/Fleur_de_pierre,"Article géolocalisé en Croatie, Article utilisant l'infobox Art, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Monument en Croatie, Mémoire de la Seconde Guerre mondiale, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant P1435, Portail:Arts/Articles liés, Portail:Croatie/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Sculpture/Articles liés, Portail:Seconde Guerre mondiale/Articles liés, Portail:XXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Sculpture du XXe siècle, Sculpture en béton, Sculpture en plein air en Croatie, Wikipédia:ébauche sculpture",Réduction de la longueur des phrases,2.0,1.0
43,Station d'épuration vivante,"Certaines des premières usines d'épuration vivantes ont été utilisées pour traiter les eaux usées domestiques dans de petits villages soucieux de l'environnement, tels que Findhorn Community en Écosse.","De petits villages soucieux de l'environnement, tels que Findhorn Community en Écosse, ont utilisé certaines des premières usines d'épuration vivantes pour traiter les eaux usées domestiques.",fr.wikipedia.org/wiki/Station_d%27%C3%A9puration_vivante,"Aménagement du territoire, Article au ton publicitaire/Liste complète, Article au ton publicitaire depuis mai 2023, Article orphelin/Liste complète, Article orphelin depuis mai 2023, Canalisation, Génie de l'environnement, Portail:Architecture et urbanisme/Articles liés, Portail:Environnement/Articles liés, Écologie aquatique",Formes actives au lieu de passives,3.2,3.0
44,Pink-collar worker,"En effet, le nombre de postes à pourvoir dans le secteur a augmenté rapidement et de plus en plus de femmes sont entrées dans la vie active.","En effet, le nombre de postes à pourvoir dans le secteur a augmenté rapidement. De plus, de plus en plus de femmes sont entrées dans la vie active.",fr.wikipedia.org/wiki/Pink-collar_worker,"Article manquant de références/Liste complète, Article manquant de références depuis juin 2017, Groupe social, Portail:Femmes/Articles liés, Portail:Société/Articles liés, Portail:Travail et métiers/Articles liés, Portail:Économie/Articles liés, Travail des femmes",Réduction de la longueur des phrases,2.2,2.6
45,Académie de San Carlos,C'est la première grande académie d'art où le peintre espagnol Antonio Fabrés a enseigné et aussi le premier musée d'art des Amériques.,C'est la première grande académie d'art où Antonio Fabrés a enseigné et le premier musée d'art des Amériques.,fr.wikipedia.org/wiki/Acad%C3%A9mie_de_San_Carlos,"Académie des beaux-arts, Ancien hôpital, Article de Wikipédia avec notice d'autorité, Article géolocalisé au Mexique, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Culture mexicaine, Galerie d'art contemporain, Musée d'art à Mexico, Page avec des cartes, Page géolocalisée par Wikidata, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P101, Page utilisant P1417, Page utilisant P159, Page utilisant P17, Page utilisant P2716, Page utilisant P31, Page utilisant P571, Page utilisant P856, Page utilisant un modèle Bases inactif, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Arts/Articles liés, Portail:Mexico/Articles liés, Portail:Mexique/Articles liés, Portail:Société/Articles liés, Portail:Éducation/Articles liés, Université au Mexique, Wikipédia:ébauche Mexique, Wikipédia:ébauche art, Établissement scolaire fondé en 1781",Élimination des informations non essentielles,3.75,2.5
46,Borden Ladner Gervais,"Howard, Mackie a été étroitement associé à la croissance de Calgary, ville devenue un véritable centre d'affaires international.","Howard Mackie a été associé à la croissance de Calgary, devenue un centre d'affaires international.",fr.wikipedia.org/wiki/Borden_Ladner_Gervais,"Article manquant de références/Liste complète, Article manquant de références depuis août 2018, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Article à illustrer Entreprise, Cabinet d'avocats, Page utilisant P159, Page utilisant P571, Page utilisant P856, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Canada/Articles liés, Portail:Droit/Articles liés, Portail:Entreprises/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche Canada, Wikipédia:ébauche droit, Wikipédia:ébauche entreprise",Élimination des informations non essentielles,2.8,1.6
47,Globe virtuel,Ce type de logiciel permet à l’utilisateur de se déplacer librement autour du globe en changeant la position et l’angle de vue.,Ce logiciel permet à l’utilisateur de se déplacer autour du globe en changeant la position et l’angle de vue.,fr.wikipedia.org/wiki/Globe_virtuel,"Portail:Géographie/Articles liés, Portail:Information géographique/Articles liés, Portail:Technologies/Articles liés, Système d'information géographique, Wikipédia:ébauche géographie, Wikipédia:ébauche informatique",Omission des mots redondants,3.0,2.0
